,train,validation,test
02FC021,0.0,0.04175222450376459,1.0
02FD001,0.9833447410449464,0.3429158110882957,0.9543691535477983
02FD002,1.0,0.2840520191649555,1.0
02FD003,0.0,0.32511978097193706,1.0
02FE008,1.0,0.41683778234086244,1.0
02FE009,1.0,1.0,1.0
02FE010,0.0,0.3429158110882957,1.0
02FE014,0.8199863107460643,0.3937942048825006,1.0
02FE016,0.0,0.06228610540725532,1.0
02FE017,0.0,0.04175222450376459,1.0
02FF003,0.0,0.0,0.0
02FF004,1.0,1.0,1.0
02FF005,0.0,0.0,0.0
02FF006,0.0,0.0,0.0
02FF007,1.0,1.0,1.0
02FF008,1.0,1.0,0.9892767510837326
02FF013,0.0,0.04175222450376459,0.999087383070956
02FF014,0.0,0.06228610540725532,0.9285877253023044
02FF015,0.0,0.06228610540725532,1.0
02GA005,0.0,0.04175222450376459,0.8856947296372347
02GA010,0.9792379648642482,1.0,1.0
02GA017,0.0,0.0,0.0
02GA018,0.8400638831850331,1.0,1.0
02GA032,0.18777093315080995,0.0,0.0
02GA035,0.18777093315080995,0.0,0.0
02GA036,0.18777093315080995,0.0,0.0
02GA037,0.8012776637006617,0.0,0.0
02GA042,0.1524070271503536,0.41090577230207626,0.38672142368240936
02GA043,0.11841204654346338,1.0,1.0
02GA044,0.0,0.4020077572438969,0.5902349988592288
02GA045,0.0,0.40679899612137804,0.5904631530914899
02GA046,0.0,0.4006388318503308,0.5902349988592288
02GA047,0.0,0.3347022587268994,1.0
02GA048,0.0,0.02988820442619211,1.0
02GB007,1.0,1.0,0.7709331508099475
02GB011,0.0,0.0,0.0
02GC002,1.0,1.0,1.0
02GC009,0.0,0.0,0.0
02GC010,1.0,0.6666666666666667,1.0
02GC011,0.0,0.04699977184576776,1.0
02GC018,1.0,1.0,0.9899612137805156
02GC021,0.8975587497148072,0.04175222450376459,0.7900981063198722
02GC029,0.7428701802418435,1.0,1.0
02GC030,0.6456764772986539,0.6484143280857859,1.0
02GC031,0.5644535706137349,1.0,1.0
02GC032,0.4994296144193475,0.0,0.0
02GC033,0.4996577686516085,0.0,0.0
02GC034,0.3812457221081451,0.36778462240474563,0.0
02GC036,0.0,0.0,0.8957335158567191
02GC037,0.0,0.0,0.25507643166780747
02GC038,0.0,0.0,0.20853296828656176
02GD004,1.0,1.0,1.0
02GD006,0.0,0.0,0.0
02GD009,0.7170887519963496,0.02509696554871088,1.0
02GD010,1.0,0.07209673739447864,1.0
02GD013,0.7198266027834817,0.0,0.0
02GD019,1.0,0.3538672142368241,1.0
02GD021,1.0,1.0,1.0
02GD022,0.5562400182523386,0.0,0.12502851927903258
02GD023,0.6075747205110655,0.3748574036048369,0.0
02GD024,0.32922655715263516,0.0,0.0
02GD025,0.3189596167008898,0.0,0.0
02GD027,0.0,0.33515856719142145,1.0
02GD028,0.0,0.3315080994752453,0.9790098106319872
02GE005,0.9249372575861282,0.7962582705909195,1.0
02GE007,1.0,0.39607574720511063,0.8583162217659137
02GE008,0.0,0.32854209445585214,1.0
02GF001,0.0,0.0,0.0
02GG002,1.0,1.0,1.0
02GG003,0.8957335158567191,1.0,1.0
02GG004,0.1323294547113849,0.0,0.0
02GG005,0.8083504449007529,0.37508555783709785,1.0
02GG006,1.0,1.0,1.0
02GG007,0.1323294547113849,0.0,0.0
02GG009,1.0,1.0,1.0
02GG013,0.0,0.04175222450376459,0.9929272187999088
02GG014,0.0,0.0,0.3438284280173397
02GH001,0.808122290668492,0.0,0.0
02GH003,1.0,1.0,1.0
02GH004,1.0,1.0,0.43326488706365507
02GH011,0.812457221081451,0.8334474104494638,0.8402920374172941
02GH013,0.407027150353639,0.0,0.0
02GH014,0.45585215605749485,0.0,0.0
02GH015,0.0,0.0,0.5206479580196213
02GH016,0.0,0.0,0.12548482774355463
02HA006,1.0,1.0,0.9828884325804244
02HA014,0.9123887748117727,0.7417294090805384,0.7029431895961671
02HA015,0.3924252794889346,0.0,0.0
02HA016,0.3924252794889346,0.0,0.0
02HA020,0.6456764772986539,0.9507186858316222,0.9228838694957792
02HA022,0.45106091718001373,0.7916951859456993,0.2915811088295688
02HA023,0.45106091718001373,0.6906228610540726,0.0
02HA027,0.3123431439653206,0.04426192105863569,0.0
02HA030,0.0,0.04175222450376459,1.0
02HA031,0.0,0.04175222450376459,0.999771845767739
02HA032,0.0,0.0,0.2290668491900525
02HB004,1.0,1.0,1.0
02HB012,1.0,1.0,0.9831165868126853
02HB021,0.6513803331051791,0.6251425963951631,1.0
02HB022,0.433721195528177,1.0,1.0
02HB023,0.6360939995436916,0.8961898243212412,0.9949806068902578
02HB027,0.0,0.3682409308692677,1.0
02HB028,0.0,0.04175222450376459,0.8610540725530459
02HB029,0.0,0.04175222450376459,1.0
02HB030,0.0,0.04175222450376459,0.5642254163814739
02HB031,0.0,0.04175222450376459,0.9167237052247319
02HC007,0.0,0.0,0.0
02HC009,1.0,1.0,1.0
02HC011,0.0,0.0,0.0
02HC013,0.9922427561031257,0.38672142368240936,0.9377138945927447
02HC018,1.0,1.0,1.0
02HC019,1.0,1.0,0.6372347707049966
02HC025,1.0,0.7481177275838466,0.9388546657540497
02HC028,1.0,1.0,0.9377138945927447
02HC030,1.0,1.0,1.0
02HC031,1.0,1.0,1.0
02HC033,0.9279032626055214,1.0,0.917864476386037
02HC036,0.0,0.0,0.0
02HC037,0.0,0.0,0.0
02HC038,0.4980606890257814,0.04175222450376459,0.9377138945927447
02HC040,0.0,0.0,0.0
02HC043,0.0,0.0,0.0
02HC044,0.0,0.0,0.0
02HC045,0.0,0.0,0.0
02HC046,0.0,0.0,0.0
02HC047,1.0,0.35409536846908507,1.0
02HC049,0.4446725986767055,1.0,0.9377138945927447
02HC051,0.0,0.33675564681724846,1.0
02HC053,0.0,0.3180469997718458,1.0
02HC054,0.0,0.3390371891398586,1.0
02HC055,0.0,0.3166780743782798,1.0
02HC056,0.0,0.04175222450376459,1.0
02HC058,0.0,0.04152407027150351,0.9377138945927447
02HC106,0.0,0.0,0.0
02HC114,0.0,0.0,0.0
02HD001,0.0,0.0,0.0
02HD002,0.0,0.0,0.0
02HD006,0.9865389002966005,0.05087839379420489,0.8663016198950491
02HD008,1.0,1.0,0.999771845767739
02HD009,1.0,0.6668948208989276,0.9377138945927447
02HD012,1.0,1.0,1.0
02HD013,0.9347478895733516,1.0,0.5211042664841432
02HD018,0.0,0.35090120921743095,1.0
02HD019,0.0,0.26283367556468173,1.0
02HD020,0.0,0.04175222450376459,1.0
