,train,validation,test
02AA001,1.0,0.46153846153846156,0.0
02AA002,0.0,0.0,0.0
02AB008,1.0,1.0,0.9230769230769231
02AB014,1.0,0.3846153846153846,0.9230769230769231
02AB017,1.0,1.0,0.9230769230769231
02AB019,0.7692307692307692,1.0,1.0
02AB021,0.46153846153846156,1.0,0.8461538461538461
02AB022,0.0,0.3076923076923077,0.9230769230769231
02AB023,0.0,0.0,0.6923076923076923
02AB024,0.0,0.0,0.8461538461538461
02AC001,1.0,0.9230769230769231,0.9230769230769231
02AC002,1.0,1.0,0.9230769230769231
02AD010,1.0,1.0,1.0
02AE001,1.0,0.15384615384615385,0.9230769230769231
02BA002,1.0,0.07692307692307687,0.0
02BA003,1.0,1.0,0.9230769230769231
02BA005,0.46153846153846156,1.0,0.9230769230769231
02BA006,0.0,0.3076923076923077,1.0
02BB002,0.6923076923076923,0.0,0.0
02BB003,1.0,1.0,1.0
02BC005,0.07692307692307687,1.0,0.0
02BC006,0.0,0.0,0.8461538461538461
02BF001,1.0,1.0,0.9230769230769231
02BF002,1.0,1.0,0.9230769230769231
02BF003,0.0,0.0,0.0
02BF004,1.0,1.0,0.9230769230769231
02BF005,1.0,1.0,0.8461538461538461
02BF006,1.0,1.0,0.8461538461538461
02BF007,1.0,1.0,0.8461538461538461
02BF008,1.0,1.0,0.8461538461538461
02BF009,1.0,1.0,0.8461538461538461
02CA002,1.0,1.0,0.9230769230769231
02CB003,1.0,1.0,0.9230769230769231
02CD006,1.0,1.0,0.9230769230769231
02CD007,0.6153846153846154,0.0,0.0
02CE007,0.0,0.07692307692307687,0.9230769230769231
02CE103,0.0,0.0,0.0
02CF007,1.0,1.0,0.9230769230769231
02CF008,1.0,1.0,0.9230769230769231
02CF011,1.0,0.23076923076923073,0.9230769230769231
02CF012,1.0,1.0,1.0
02CF100,0.0,0.0,0.0
02CG003,0.7692307692307692,0.5384615384615384,1.0
02DC012,0.6923076923076923,1.0,1.0
02DC013,0.0,0.0,0.7692307692307692
02DD012,0.9230769230769231,0.0,0.6923076923076923
02DD013,1.0,1.0,0.9230769230769231
02DD014,1.0,1.0,0.9230769230769231
02DD015,1.0,1.0,0.9230769230769231
02EA005,1.0,1.0,1.0
02EA010,1.0,1.0,0.9230769230769231
02EA013,0.46153846153846156,0.0,0.0
02EA018,0.0,0.3846153846153846,0.9230769230769231
02EA021,0.0,0.0,0.8461538461538461
02EB014,1.0,1.0,1.0
02EB103,0.0,0.0,0.0
02EB104,0.0,0.0,0.0
02EC002,1.0,1.0,1.0
02EC009,1.0,1.0,1.0
02EC010,1.0,0.7692307692307692,1.0
02EC011,0.9230769230769231,0.07692307692307687,1.0
02EC018,0.6153846153846154,1.0,1.0
02EC019,0.0,0.07692307692307687,1.0
02EC020,0.0,0.07692307692307687,1.0
02EC021,0.0,0.07692307692307687,1.0
02ED003,1.0,1.0,1.0
02ED007,1.0,1.0,1.0
02ED013,0.6153846153846154,1.0,1.0
02ED014,0.8461538461538461,1.0,0.8461538461538461
02ED015,0.5384615384615384,1.0,1.0
02ED016,0.5384615384615384,0.0,0.0
02ED017,0.5384615384615384,1.0,1.0
02ED018,0.5384615384615384,0.3846153846153846,0.0
02ED019,0.5384615384615384,0.46153846153846156,0.0
02ED024,0.5384615384615384,1.0,1.0
02ED025,0.3076923076923077,0.0,0.0
02ED026,0.46153846153846156,1.0,1.0
02ED028,0.0,0.46153846153846156,0.0
02ED029,0.0,0.5384615384615384,0.9230769230769231
02ED030,0.0,0.07692307692307687,1.0
02ED031,0.0,0.07692307692307687,0.9230769230769231
02ED032,0.0,0.07692307692307687,1.0
02ED101,0.0,0.7692307692307692,1.0
02ED102,0.3846153846153846,0.7692307692307692,1.0
02FA002,1.0,1.0,1.0
02FA004,0.6153846153846154,0.3846153846153846,1.0
02FB007,1.0,1.0,1.0
02FB010,1.0,1.0,1.0
02FB012,0.0,0.07692307692307687,1.0
02FB013,0.0,0.07692307692307687,1.0
02FB014,0.0,0.07692307692307687,1.0
02FC011,1.0,0.46153846153846156,1.0
02FC016,1.0,0.5384615384615384,1.0
02FC017,0.7692307692307692,0.07692307692307687,1.0
02FC020,0.0,0.07692307692307687,1.0
02FC021,0.0,0.07692307692307687,1.0
02FD001,1.0,0.3846153846153846,1.0
02FD002,1.0,0.3846153846153846,1.0
02FD003,0.0,0.3846153846153846,1.0
02FE008,1.0,0.5384615384615384,1.0
02FE009,1.0,1.0,1.0
02FE010,0.0,0.3846153846153846,1.0
02FE014,0.8461538461538461,0.46153846153846156,1.0
02FE016,0.0,0.07692307692307687,1.0
02FE017,0.0,0.07692307692307687,1.0
02FF003,0.0,0.0,0.0
02FF004,1.0,1.0,1.0
02FF005,0.0,0.0,0.0
02FF006,0.0,0.0,0.0
02FF007,1.0,1.0,1.0
02FF008,1.0,1.0,1.0
02FF013,0.0,0.07692307692307687,1.0
02FF014,0.0,0.07692307692307687,1.0
02FF015,0.0,0.07692307692307687,1.0
02GA005,0.0,0.07692307692307687,1.0
02GA010,1.0,1.0,1.0
02GA017,0.0,0.0,0.0
02GA018,0.9230769230769231,1.0,1.0
02GA032,0.23076923076923073,0.0,0.0
02GA035,0.23076923076923073,0.0,0.0
